"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","LOPQ010.fasta","LOPR010.fasta"
"proY","","Proline-specific permease ProY","2","2","1","82","222","","","","1373","1373","1373","PHNCKJFH_04041","JLKMCBGM_02317"
"hcaR_1","","Hca operon transcriptional activator HcaR","2","2","1","87","779","","","","893","893","893","PHNCKJFH_01915","JLKMCBGM_01610"
"group_2807","","hypothetical protein","2","2","1","87","233","","","","155","155","155","PHNCKJFH_04329","JLKMCBGM_00065"
"ptsO","","Phosphocarrier protein NPr","2","2","1","86","89","","","","272","272","272","PHNCKJFH_00063","JLKMCBGM_01394"
"gspC","","Putative type II secretion system protein C","2","2","1","76","16","","","","815","815","815","PHNCKJFH_03780","JLKMCBGM_02706"
"pdeD","","putative cyclic di-GMP phosphodiesterase PdeD","2","2","1","87","559","","","","1598","1658","1628","PHNCKJFH_02392","JLKMCBGM_01832"
"cmk","","Cytidylate kinase","2","2","1","84","489","","","","683","683","683","PHNCKJFH_00793","JLKMCBGM_03850"
"group_2811","","hypothetical protein","2","2","1","86","441","","","","518","518","518","PHNCKJFH_03839","JLKMCBGM_03219"
"group_2812","","hypothetical protein","2","2","1","83","375","","","","146","146","146","PHNCKJFH_01695","JLKMCBGM_00415"
"greB","","Transcription elongation factor GreB","2","2","1","79","71","","","","476","476","476","PHNCKJFH_02267","JLKMCBGM_04364"
"alx","","Putative membrane-bound redox modulator Alx","2","2","1","86","208","","","","965","965","965","PHNCKJFH_00182","JLKMCBGM_04647"
"livK","","Leucine-specific-binding protein","2","2","1","79","122","","","","1109","1109","1109","PHNCKJFH_02214","JLKMCBGM_04314"
"nudJ","","Phosphatase NudJ","2","2","1","87","316","","","","461","461","461","PHNCKJFH_03706","JLKMCBGM_04075"
"yddM","","putative HTH-type transcriptional regulator YddM","2","2","1","71","36","","","","284","284","284","PHNCKJFH_03246","JLKMCBGM_00165"
"dmlR_5","","HTH-type transcriptional regulator DmlR","2","2","1","86","235","","","","932","932","932","PHNCKJFH_00210","JLKMCBGM_04675"
"hcaC","","3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit","2","2","1","85","414","","","","320","320","320","PHNCKJFH_02841","JLKMCBGM_02915"
"msrC","","Free methionine-R-sulfoxide reductase","2","2","1","87","542","","","","551","551","551","PHNCKJFH_02408","JLKMCBGM_01849"
"speG","","Spermidine N(1)-acetyltransferase","2","2","1","87","790","","","","560","560","560","PHNCKJFH_01904","JLKMCBGM_01599"
"nagK","","N-acetyl-D-glucosamine kinase","2","2","1","87","948","","","","911","911","911","PHNCKJFH_03691","JLKMCBGM_04015"
"rpsU","","30S ribosomal protein S21","2","2","1","86","230","","","","215","215","215","PHNCKJFH_00205","JLKMCBGM_04670"
"group_2823","murR_2","HTH-type transcriptional regulator MurR","2","2","1","85","393","","","","848","848","848","PHNCKJFH_02820","JLKMCBGM_02936"
"yejG","","putative protein YejG","2","2","1","85","190","","","","344","344","344","PHNCKJFH_03169","JLKMCBGM_00833"
"tal_2","","Transaldolase","2","2","1","85","520","","","","950","950","950","PHNCKJFH_02922","JLKMCBGM_02784"
"bioP","","Biotin transporter","2","2","1","77","22","","","","899","899","899","PHNCKJFH_02771","JLKMCBGM_03051"
"group_2827","","hypothetical protein","2","2","1","83","158","","","","257","257","257","PHNCKJFH_01828","JLKMCBGM_02005"
"mtlD","","Mannitol-1-phosphate 5-dehydrogenase","2","2","1","80","57","","","","1148","1148","1148","PHNCKJFH_00618","JLKMCBGM_00104"
"iolG","","Myo-inositol 2-dehydrogenase","2","2","1","87","157","","","","1055","1055","1055","PHNCKJFH_04218","JLKMCBGM_01187"
"purT","","Formate-dependent phosphoribosylglycinamide formyltransferase","2","2","1","87","525","","","","1178","1178","1178","PHNCKJFH_02427","JLKMCBGM_01867"
"ybaA","","putative protein YbaA","2","2","1","82","104","","","","353","353","353","PHNCKJFH_04094","JLKMCBGM_02370"
"rbfA","","30S ribosome-binding factor","2","2","1","86","126","","","","401","401","401","PHNCKJFH_00102","JLKMCBGM_01355"
"cspE","","Cold shock-like protein CspE","2","2","1","84","64","","","","209","209","209","PHNCKJFH_01617","JLKMCBGM_04163"
"hda","","DnaA regulatory inactivator Hda","2","2","1","85","485","","","","746","746","746","PHNCKJFH_02886","JLKMCBGM_02818"
"group_2834","","hypothetical protein","2","2","1","85","518","","","","1043","1043","1043","PHNCKJFH_02920","JLKMCBGM_02786"
"clsA","","Cardiolipin synthase A","2","2","1","87","225","","","","1460","1460","1460","PHNCKJFH_04321","JLKMCBGM_00073"
"rpsB","","30S ribosomal protein S2","2","2","1","81","42","","","","725","725","725","PHNCKJFH_01419","JLKMCBGM_02137"
"group_2837","","hypothetical protein","2","2","1","86","240","","","","620","620","620","PHNCKJFH_00215","JLKMCBGM_04680"
"frlD","","Fructoselysine 6-kinase","2","2","1","79","39","","","","785","785","785","PHNCKJFH_02299","JLKMCBGM_04396"
"uspB","","Universal stress protein B","2","2","1","72","25","","","","335","335","335","PHNCKJFH_00959","JLKMCBGM_04803"
"group_284","","hypothetical protein","2","2","1","87","505","","","","578","818","698","PHNCKJFH_02463","JLKMCBGM_01887"
"pdxH","","Pyridoxine/pyridoxamine 5'-phosphate oxidase","2","2","1","87","734","","","","656","656","656","PHNCKJFH_02003","JLKMCBGM_01655"
"lpxD","","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","2","2","1","81","31","","","","1025","1025","1025","PHNCKJFH_01430","JLKMCBGM_02126"
"aat","","Leucyl/phenylalanyl-tRNA--protein transferase","2","2","1","84","434","","","","704","704","704","PHNCKJFH_00848","JLKMCBGM_03825"
"rpmE","","50S ribosomal protein L31","2","2","1","78","37","","","","212","212","212","PHNCKJFH_02570","JLKMCBGM_01462"
"yibA_2","","Protein YibA","2","2","1","25","2","","","Investigate","842","842","842","PHNCKJFH_02610","JLKMCBGM_03498"
"group_2845","","hypothetical protein","2","2","1","86","455","","","","290","290","290","PHNCKJFH_04187","JLKMCBGM_03233"
"rluC","","Ribosomal large subunit pseudouridine synthase C","2","2","1","87","915","","","","959","959","959","PHNCKJFH_03658","JLKMCBGM_03982"
"ahr","","Aldehyde reductase Ahr","2","2","1","83","251","","","","1019","1019","1019","PHNCKJFH_01812","JLKMCBGM_00536"
"dctA","","Aerobic C4-dicarboxylate transport protein","2","2","1","74","36","","","","1286","1286","1286","PHNCKJFH_02620","JLKMCBGM_00234"
"recX","","Regulatory protein RecX","2","2","1","86","498","","","","500","500","500","PHNCKJFH_01146","JLKMCBGM_03284"
"flhA_2","","Flagellar biosynthesis protein FlhA","2","2","1","87","494","","","","1991","2078","2034","PHNCKJFH_02474","JLKMCBGM_01898"
"nudB","","Dihydroneopterin triphosphate diphosphatase","2","2","1","87","508","","","","509","509","509","PHNCKJFH_02444","JLKMCBGM_01884"
"kbaY","","D-tagatose-1,6-bisphosphate aldolase subunit KbaY","2","2","1","86","156","","","","860","860","860","PHNCKJFH_00132","JLKMCBGM_04599"
"hisC","","Histidinol-phosphate aminotransferase","2","2","1","75","39","","","","1070","1070","1070","PHNCKJFH_02679","JLKMCBGM_00611"
"rpsC","","30S ribosomal protein S3","2","2","1","76","26","","","","701","701","701","PHNCKJFH_03790","JLKMCBGM_02696"
"nusB","","Transcription antitermination protein NusB","2","2","1","82","236","","","","419","419","419","PHNCKJFH_04055","JLKMCBGM_02331"
"ybeZ","","PhoH-like protein","2","2","1","84","100","","","","1079","1079","1079","PHNCKJFH_01581","JLKMCBGM_04127"
"tusB","","Protein TusB","2","2","1","79","8","","","","287","287","287","PHNCKJFH_02330","JLKMCBGM_04427"
"group_2857","","hypothetical protein","2","2","1","85","296","","","","494","494","494","PHNCKJFH_03067","JLKMCBGM_00948"
"gspO","","Type 4 prepilin-like proteins leader peptide-processing enzyme","2","2","1","76","5","","","","677","677","677","PHNCKJFH_03769","JLKMCBGM_02717"
"srlA","","PTS system glucitol/sorbitol-specific EIIC component","2","2","1","86","502","","","","563","563","563","PHNCKJFH_01142","JLKMCBGM_03288"
"cheW","","Chemotaxis protein CheW","2","2","1","87","484","","","","398","503","450","PHNCKJFH_02484","JLKMCBGM_01906"
"group_2860","","hypothetical protein","2","2","1","86","145","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","395","395","395","PHNCKJFH_00121","JLKMCBGM_01336"
"dinB","","DNA polymerase IV","2","2","1","84","173","","","","1055","1055","1055","PHNCKJFH_01491","JLKMCBGM_00670"
"ccmE","","Cytochrome c-type biogenesis protein CcmE","2","2","1","85","203","","","","479","479","479","PHNCKJFH_03155","JLKMCBGM_00847"
"rutF","","FMN reductase (NADH) RutF","2","2","1","84","516","","","","494","494","494","PHNCKJFH_02157","JLKMCBGM_03946"
"nikD","","Nickel import ATP-binding protein NikD","2","2","1","79","144","","","","764","764","764","PHNCKJFH_02193","JLKMCBGM_04293"
"phnJ","","Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase","2","2","1","83","426","","","","845","845","845","PHNCKJFH_03344","JLKMCBGM_03538"
"lpoA","","Penicillin-binding protein activator LpoA","2","2","1","86","146","","","","2036","2036","2036","PHNCKJFH_00122","JLKMCBGM_01335"
"glpX","","Fructose-1,6-bisphosphatase 1 class 2","2","2","1","78","48","","","","1010","1010","1010","PHNCKJFH_02559","JLKMCBGM_01473"
"yecS","","L-cystine transport system permease protein YecS","2","2","1","87","459","","","","668","668","668","PHNCKJFH_02512","JLKMCBGM_01934"
"sucD","","Succinate--CoA ligase [ADP-forming] subunit alpha","2","2","1","84","285","","","","869","869","869","PHNCKJFH_03594","JLKMCBGM_03668"
"sdiA","","Regulatory protein SdiA","2","2","1","87","461","","","","722","722","722","PHNCKJFH_02510","JLKMCBGM_01932"
"dtpB","","Dipeptide and tripeptide permease B","2","2","1","72","23","","","","1469","1469","1469","PHNCKJFH_00961","JLKMCBGM_04801"
"prlC","","Oligopeptidase A","2","2","1","72","21","","","","2042","2042","2042","PHNCKJFH_00963","JLKMCBGM_04799"
"rbsA_2","","Ribose import ATP-binding protein RbsA","2","2","1","83","437","","","","1532","1532","1532","PHNCKJFH_03355","JLKMCBGM_03549"
"group_2873","","hypothetical protein","2","2","1","85","432","","","","776","776","776","PHNCKJFH_02859","JLKMCBGM_02897"
"glnQ_1","","Glutamine transport ATP-binding protein GlnQ","2","2","1","86","24","","","","758","758","758","PHNCKJFH_00004","JLKMCBGM_00195"
"tolC","","Outer membrane protein TolC","2","2","1","86","258","","","","1481","1481","1481","PHNCKJFH_00233","JLKMCBGM_04698"
"coaA_2","","Pantothenate kinase","2","2","1","45","3","","","","926","926","926","PHNCKJFH_01075","JLKMCBGM_02658"
"flgM","","Negative regulator of flagellin synthesis","2","2","1","87","901","","","","293","293","293","PHNCKJFH_03644","JLKMCBGM_02063"
"group_2878","","hypothetical protein","2","2","1","83","442","","","","275","275","275","PHNCKJFH_03360","JLKMCBGM_03554"
"yccF","","Inner membrane protein YccF","2","2","1","84","559","","","","446","446","446","PHNCKJFH_00743","JLKMCBGM_03901"
"fliZ","","Regulator of sigma S factor FliZ","2","2","1","87","456","","","","551","551","551","PHNCKJFH_02515","JLKMCBGM_01937"
"group_2880","","hypothetical protein","2","2","1","87","789","","","","746","746","746","PHNCKJFH_01905","JLKMCBGM_01600"
"cysL","","HTH-type transcriptional regulator CysL","2","2","1","85","165","","","","881","881","881","PHNCKJFH_03194","JLKMCBGM_00808"
"yggF","","Fructose-1,6-bisphosphatase 2 class 2","2","2","1","86","373","","","","965","965","965","PHNCKJFH_00338","JLKMCBGM_02581"
"ftsN","","Cell division protein FtsN","2","2","1","78","40","","","","854","854","854","PHNCKJFH_02567","JLKMCBGM_01465"
"sra","","Stationary-phase-induced ribosome-associated protein","2","2","1","71","39","","","","137","137","137","PHNCKJFH_03249","JLKMCBGM_00162"
"cytR","","HTH-type transcriptional repressor CytR","2","2","1","78","39","","","","1025","1025","1025","PHNCKJFH_02568","JLKMCBGM_01464"
"ycjG","","L-Ala-D/L-Glu epimerase","2","2","1","87","146","","","","965","965","965","PHNCKJFH_03503","JLKMCBGM_01177"
"pdeH","","Cyclic di-GMP phosphodiesterase PdeH","2","2","1","74","39","","","","767","767","767","PHNCKJFH_02623","JLKMCBGM_00237"
"endA","","Endonuclease-1","2","2","1","86","361","","","","707","707","707","PHNCKJFH_00326","JLKMCBGM_02569"
"astA","","Arginine N-succinyltransferase","2","2","1","87","628","","","","1034","1034","1034","PHNCKJFH_02113","JLKMCBGM_01765"
"fliT","","Flagellar protein FliT","2","2","1","87","451","","","","365","365","365","PHNCKJFH_02520","JLKMCBGM_01942"
"citE","","Citrate lyase subunit beta","2","2","1","84","57","","","","908","908","908","PHNCKJFH_01624","JLKMCBGM_04170"
"ybhH","","Putative isomerase YbhH","2","2","1","84","318","","","","1052","1052","1052","PHNCKJFH_03553","JLKMCBGM_03709"
"group_2892","","hypothetical protein","2","2","1","85","328","","","","278","278","278","PHNCKJFH_03036","JLKMCBGM_00979"
"group_2893","","hypothetical protein","2","2","1","73","32","","","","212","212","212","PHNCKJFH_01234","JLKMCBGM_03186"
"ybaN","","Inner membrane protein YbaN","2","2","1","82","92","","","","377","377","377","PHNCKJFH_04106","JLKMCBGM_02382"
"group_2895","","putative FAD-linked oxidoreductase","2","2","1","86","319","","","","1499","1499","1499","PHNCKJFH_00292","JLKMCBGM_04760"
"mngR_1","","Mannosyl-D-glycerate transport/metabolism system repressor MngR","2","2","1","80","137","","","","716","716","716","PHNCKJFH_01057","JLKMCBGM_01090"
"asd","","Aspartate-semialdehyde dehydrogenase","2","2","1","79","98","","","","1103","1103","1103","PHNCKJFH_02237","JLKMCBGM_04338"
"nsrR","","HTH-type transcriptional repressor NsrR","2","2","1","83","347","","","","425","425","425","PHNCKJFH_01726","JLKMCBGM_00446"
"thrS","","Threonine--tRNA ligase","2","2","1","87","656","","","","1928","1928","1928","PHNCKJFH_02084","JLKMCBGM_01736"
"yedF","","Putative sulfur carrier protein YedF","2","2","1","87","447","","","","233","233","233","PHNCKJFH_02524","JLKMCBGM_01946"
"ttdT_1","","L-tartrate/succinate antiporter","2","2","1","84","53","","","","1463","1463","1463","PHNCKJFH_01628","JLKMCBGM_04174"
"atpE","","ATP synthase subunit c","2","2","1","80","19","","","","239","239","239","PHNCKJFH_01004","JLKMCBGM_01034"
"ynfD","","putative protein YnfD","2","2","1","87","788","","","","305","305","305","PHNCKJFH_01906","JLKMCBGM_01601"
"psd","","Phosphatidylserine decarboxylase proenzyme","2","2","1","83","362","","","","968","968","968","PHNCKJFH_01708","JLKMCBGM_00428"
"dlgD","","2,3-diketo-L-gulonate reductase","2","2","1","73","18","","","","998","998","998","PHNCKJFH_01250","JLKMCBGM_03173"
"rpsG","","30S ribosomal protein S7","2","2","1","79","6","","","","470","470","470","PHNCKJFH_02332","JLKMCBGM_04429"
"deoA","","Thymidine phosphorylase","2","2","1","83","90","","","","1322","1322","1322","PHNCKJFH_00570","JLKMCBGM_04523"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","2","2","1","83","357","","","","461","461","461","PHNCKJFH_01716","JLKMCBGM_00436"
"ybaB","","Nucleoid-associated protein YbaB","2","2","1","82","89","","","","329","329","329","PHNCKJFH_04109","JLKMCBGM_02385"
"dinI","","DNA damage-inducible protein I","2","2","1","87","891","","","","245","245","245","PHNCKJFH_03634","JLKMCBGM_02073"
"yedK","","SOS response-associated protein YedK","2","2","1","87","446","","","","671","671","671","PHNCKJFH_02525","JLKMCBGM_01947"
"tam","","Trans-aconitate 2-methyltransferase","2","2","1","87","350","","","","758","758","758","PHNCKJFH_03910","JLKMCBGM_01569"
"cadB","","putative cadaverine/lysine antiporter","2","2","1","83","391","","","","1334","1334","1334","PHNCKJFH_01678","JLKMCBGM_03502"
"pnuC","","Nicotinamide riboside transporter PnuC","2","2","1","84","300","","","","719","719","719","PHNCKJFH_03571","JLKMCBGM_03691"
"artM_1","","Arginine transport ATP-binding protein ArtM","2","2","1","87","460","","","","752","752","752","PHNCKJFH_02511","JLKMCBGM_01933"
"group_2914","","hypothetical protein","2","2","1","85","121","","","","281","281","281","PHNCKJFH_03238","JLKMCBGM_00763"
"group_2915","","hypothetical protein","2","2","1","86","278","","","","926","926","926","PHNCKJFH_00253","JLKMCBGM_04718"
"hcpA_1","","Major exported protein","2","2","1","84","237","","","","482","482","482","PHNCKJFH_00521","JLKMCBGM_00637"
"garR","","2-hydroxy-3-oxopropionate reductase","2","2","1","86","170","","","","890","890","890","PHNCKJFH_00146","JLKMCBGM_04613"
"msrB","","Peptide methionine sulfoxide reductase MsrB","2","2","1","87","595","","","","413","413","413","PHNCKJFH_02356","JLKMCBGM_01796"
"tcyP","","L-cystine uptake protein TcyP","2","2","1","87","646","","","","1391","1391","1391","PHNCKJFH_02095","JLKMCBGM_01747"
"group_292","","IS3 family transposase IS150","2","2","1","30","2","","","Investigate","365","851","608","PHNCKJFH_02572","JLKMCBGM_03013"
"yqjI","","Transcriptional regulator YqjI","2","2","1","86","225","","","","623","623","623","PHNCKJFH_00199","JLKMCBGM_04664"
"cmtB","","Mannitol-specific cryptic phosphotransferase enzyme IIA component","2","2","1","86","370","","","","443","443","443","PHNCKJFH_00335","JLKMCBGM_02578"
"galM","","Aldose 1-epimerase","2","2","1","84","305","","","","1040","1040","1040","PHNCKJFH_03566","JLKMCBGM_03696"
"qmcA","","Protein QmcA","2","2","1","82","71","","","","917","917","917","PHNCKJFH_04127","JLKMCBGM_02403"
"rhaS_4","","HTH-type transcriptional activator RhaS","2","2","1","86","281","","","","956","956","956","PHNCKJFH_00256","JLKMCBGM_04721"
"oppF","","Oligopeptide transport ATP-binding protein OppF","2","2","1","74","24","","","","1004","1004","1004","PHNCKJFH_01869","JLKMCBGM_00220"
"lamB","","Maltoporin","2","2","1","83","496","","","","1340","1340","1340","PHNCKJFH_03412","JLKMCBGM_03612"
"leuC_2","","3-isopropylmalate dehydratase large subunit","2","2","1","84","320","","","","2261","2261","2261","PHNCKJFH_03551","JLKMCBGM_03711"
"hslV","","ATP-dependent protease subunit HslV","2","2","1","78","41","","","","530","530","530","PHNCKJFH_02566","JLKMCBGM_01466"
"caiA_2","","Crotonobetainyl-CoA reductase","2","2","1","87","679","","","","1151","1151","1151","PHNCKJFH_02061","JLKMCBGM_01713"
"mdtA","","Multidrug resistance protein MdtA","2","2","1","85","66","","","","1247","1367","1307","PHNCKJFH_02582","JLKMCBGM_00729"
"ilvE","","Branched-chain-amino-acid aminotransferase","2","2","1","77","53","","","","929","929","929","PHNCKJFH_02715","JLKMCBGM_03107"
"rpoB","","DNA-directed RNA polymerase subunit beta","2","2","1","70","28","","","","4028","4028","4028","PHNCKJFH_03306","JLKMCBGM_01124"
"dcuB","","Anaerobic C4-dicarboxylate transporter DcuB","2","2","1","83","401","","","","1340","1340","1340","PHNCKJFH_01668","JLKMCBGM_03512"
"pphB","","Serine/threonine-protein phosphatase 2","2","2","1","86","535","","","","656","656","656","PHNCKJFH_01109","JLKMCBGM_03321"
"wecD","","dTDP-fucosamine acetyltransferase","2","2","1","77","72","","","","674","674","674","PHNCKJFH_02734","JLKMCBGM_03088"
"yibN","","putative protein YibN","2","2","1","80","71","","","","431","431","431","PHNCKJFH_00632","JLKMCBGM_00116"
"era_3","","GTPase Era","2","2","1","85","388","","","","905","905","905","PHNCKJFH_02815","JLKMCBGM_02941"
"rpiB","","Ribose-5-phosphate isomerase B","2","2","1","83","434","","","","449","449","449","PHNCKJFH_03352","JLKMCBGM_03546"
"rhaT","","L-rhamnose-proton symporter","2","2","1","78","65","","","","1034","1034","1034","PHNCKJFH_02541","JLKMCBGM_01490"
"yehY","","Glycine betaine uptake system permease protein YehY","2","2","1","85","139","","","","1157","1157","1157","PHNCKJFH_03220","JLKMCBGM_00782"
"group_294","","hypothetical protein","2","2","1","85","65","","","","659","659","659","PHNCKJFH_02583","JLKMCBGM_00728"
"fur","","Ferric uptake regulation protein","2","2","1","84","113","","","","446","446","446","PHNCKJFH_01562","JLKMCBGM_04107"
"degS","","Serine endoprotease DegS","2","2","1","86","59","","","","1067","1067","1067","PHNCKJFH_00039","JLKMCBGM_02513"
"feaR","","Transcriptional activator FeaR","2","2","1","87","116","","","","905","905","905","PHNCKJFH_03473","JLKMCBGM_01147"
"metB","","Cystathionine gamma-synthase","2","2","1","78","30","","","","1160","1160","1160","PHNCKJFH_03270","JLKMCBGM_01459"
"group_2944","","hypothetical protein","2","2","1","79","43","","","","353","353","353","PHNCKJFH_02295","JLKMCBGM_04392"
"ebgC","","Evolved beta-galactosidase subunit beta","2","2","1","86","219","","","","449","449","449","PHNCKJFH_00193","JLKMCBGM_04658"
"pgaC","","Poly-beta-1,6-N-acetyl-D-glucosamine synthase","2","2","1","84","501","","","","1325","1325","1325","PHNCKJFH_02172","JLKMCBGM_03961"
"group_2947","","hypothetical protein","2","2","1","84","415","","","","323","323","323","PHNCKJFH_00868","JLKMCBGM_03806"
"rplQ","","50S ribosomal protein L17","2","2","1","76","45","","","","383","383","383","PHNCKJFH_03810","JLKMCBGM_02676"
"citD","","Citrate lyase acyl carrier protein","2","2","1","84","58","","","","296","296","296","PHNCKJFH_01623","JLKMCBGM_04169"
"yegI","","Protein kinase YegI","2","2","1","85","61","","","","1940","1946","1943","PHNCKJFH_02585","JLKMCBGM_00725"
"lsrK_3","","Autoinducer-2 kinase","2","2","1","86","576","","","","1478","1478","1478","PHNCKJFH_00503","JLKMCBGM_03362"
"group_2951","","hypothetical protein","2","2","1","74","11","","","","710","710","710","PHNCKJFH_01855","JLKMCBGM_00206"
"ftsX","","Cell division protein FtsX","2","2","1","79","126","","","","1058","1058","1058","PHNCKJFH_02210","JLKMCBGM_04310"
"rof","","Protein rof","2","2","1","81","21","","","","260","260","260","PHNCKJFH_01440","JLKMCBGM_02116"
"trxA","","Thioredoxin 1","2","2","1","77","63","","","","329","329","329","PHNCKJFH_02725","JLKMCBGM_03097"
"rimJ","","[Ribosomal protein S5]-alanine N-acetyltransferase","2","2","1","87","896","","","","584","584","584","PHNCKJFH_03639","JLKMCBGM_02068"
"moaD","","Molybdopterin synthase sulfur carrier subunit","2","2","1","84","333","","","","245","245","245","PHNCKJFH_03538","JLKMCBGM_03724"
"ribB","","3,4-dihydroxy-2-butanone 4-phosphate synthase","2","2","1","86","252","","","","653","653","653","PHNCKJFH_00227","JLKMCBGM_04692"
"napC","","Cytochrome c-type protein NapC","2","2","1","85","208","","","","602","602","602","PHNCKJFH_03150","JLKMCBGM_00852"
"recO","","DNA repair protein RecO","2","2","1","85","389","","","","728","728","728","PHNCKJFH_02816","JLKMCBGM_02940"
"alkA","","DNA-3-methyladenine glycosylase 2","2","2","1","85","59","","","","848","857","852","PHNCKJFH_02587","JLKMCBGM_00723"
"mdtN","","Multidrug resistance protein MdtN","2","2","1","83","443","","","","1031","1031","1031","PHNCKJFH_03361","JLKMCBGM_03555"
"group_2961","kduD_1","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","2","2","1","86","640","","","","761","761","761","PHNCKJFH_00436","JLKMCBGM_03430"
"proC","","Pyrroline-5-carboxylate reductase","2","2","1","82","208","","","","809","809","809","PHNCKJFH_04026","JLKMCBGM_02302"
"yeiP","","Elongation factor P-like protein","2","2","1","85","180","","","","572","572","572","PHNCKJFH_03179","JLKMCBGM_00823"
"allR","","HTH-type transcriptional repressor AllR","2","2","1","82","60","","","","815","815","815","PHNCKJFH_04138","JLKMCBGM_00272"
"cnoX","","Chaperedoxin","2","2","1","82","68","","","","854","854","854","PHNCKJFH_04130","JLKMCBGM_02406"
"sixA","","Phosphohistidine phosphatase SixA","2","2","1","85","618","","","","485","485","485","PHNCKJFH_03022","JLKMCBGM_00993"
"kduI","","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase","2","2","1","86","641","","","","836","836","836","PHNCKJFH_00435","JLKMCBGM_03431"
"group_297","","hypothetical protein","2","2","1","85","52","","","","1628","2690","2159","PHNCKJFH_02594","JLKMCBGM_00717"
"lptB_2","","Lipopolysaccharide export system ATP-binding protein LptB","2","2","1","79","119","","","","767","767","767","PHNCKJFH_02217","JLKMCBGM_04317"
"gfcB_2","","putative lipoprotein GfcB","2","2","1","84","535","","","","644","644","644","PHNCKJFH_00717","JLKMCBGM_03927"
"group_2972","","hypothetical protein","2","2","1","83","349","","","","197","197","197","PHNCKJFH_01724","JLKMCBGM_00444"
"group_2973","","hypothetical protein","2","2","1","82","134","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","158","158","158","PHNCKJFH_03950","JLKMCBGM_00321"
"ptsG","","PTS system glucose-specific EIICB component","2","2","1","87","930","","","","1433","1433","1433","PHNCKJFH_03673","JLKMCBGM_03997"
"proB","","Glutamate 5-kinase","2","2","1","84","161","","","","1103","1103","1103","PHNCKJFH_01480","JLKMCBGM_00681"
"group_2976","","hypothetical protein","2","2","1","84","518","","","","173","173","173","PHNCKJFH_02155","JLKMCBGM_03944"
"ddpX","","D-alanyl-D-alanine dipeptidase","2","2","1","71","5","","","","581","581","581","PHNCKJFH_03257","JLKMCBGM_00154"
"group_2978","","hypothetical protein","2","2","1","87","84","","","","173","173","173","PHNCKJFH_03441","JLKMCBGM_04221"
"zupT","","Zinc transporter ZupT","2","2","1","86","254","","","","773","773","773","PHNCKJFH_00229","JLKMCBGM_04694"
"group_298","","hypothetical protein","2","2","1","85","49","","","","1433","1433","1433","PHNCKJFH_02597","JLKMCBGM_02415"
"pgi","","Glucose-6-phosphate isomerase","2","2","1","83","16","","","","1649","1649","1649","PHNCKJFH_03424","JLKMCBGM_03624"
"dksA","","RNA polymerase-binding transcription factor DksA","2","2","1","81","65","","","","455","455","455","PHNCKJFH_01396","JLKMCBGM_02160"
"uspC","","Universal stress protein C","2","2","1","87","478","","","","428","428","428","PHNCKJFH_02490","JLKMCBGM_01912"
"group_2983","","hypothetical protein","2","2","1","83","365","","","","314","314","314","PHNCKJFH_01705","JLKMCBGM_00425"
"paaB","","1,2-phenylacetyl-CoA epoxidase, subunit B","2","2","1","87","111","","","","287","287","287","PHNCKJFH_03468","JLKMCBGM_01142"
"rplY","","50S ribosomal protein L25","2","2","1","85","194","","","","284","284","284","PHNCKJFH_03165","JLKMCBGM_00837"
"cho","","Excinuclease cho","2","2","1","87","634","","","","887","887","887","PHNCKJFH_02107","JLKMCBGM_01759"
"ubiJ_2","","Ubiquinone biosynthesis accessory factor UbiJ","2","2","1","77","15","","","","605","605","605","PHNCKJFH_02778","JLKMCBGM_03044"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","2","2","1","86","117","","","","1943","1943","1943","PHNCKJFH_00091","JLKMCBGM_01366"
"argG","","Argininosuccinate synthase","2","2","1","86","122","","","","1343","1343","1343","PHNCKJFH_00097","JLKMCBGM_01360"
"bcsZ","","Endoglucanase","2","2","1","74","33","","","","1022","1106","1064","PHNCKJFH_02617","JLKMCBGM_00231"
"ycjX","","putative protein YcjX","2","2","1","87","150","","","","1397","1397","1397","PHNCKJFH_03507","JLKMCBGM_01181"
"group_2991","","hypothetical protein","2","2","1","81","36","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","152","152","152","PHNCKJFH_01425","JLKMCBGM_02131"
"ispD","","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","2","2","1","86","548","","","","710","710","710","PHNCKJFH_01096","JLKMCBGM_03334"
